article,gender
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,Male
%C3%85land,Unknown
%C3%89douard_Manet,Male
%C3%89ire,Unknown
%C3%93engus_I_of_the_Picts,Male
%E2%82%AC2_commemorative_coins,Unknown
10th_century,Unknown
11th_century,Unknown
12th_century,Unknown
13th_century,Unknown
14th_century,Unknown
15th_Marine_Expeditionary_Unit,Unknown
15th_century,Unknown
16_Cygni,Unknown
16_Cygni_Bb,Unknown
16th_century,Unknown
1755_Lisbon_earthquake,Unknown
17th_century,Unknown
1896_Summer_Olympics,Unknown
18th_century,Unknown
1928_Okeechobee_Hurricane,Unknown
1973_oil_crisis,Unknown
1980_eruption_of_Mount_St._Helens,Unknown
1997_Pacific_hurricane_season,Unknown
19th_century,Unknown
1_Ceres,Unknown
1st_century,Unknown
1st_century_BC,Unknown
2-6-0,Unknown
2-8-0,Unknown
2003_Atlantic_hurricane_season,Unknown
2004_Atlantic_hurricane_season,Unknown
2004_Indian_Ocean_earthquake,Unknown
2005_Atlantic_hurricane_season,Unknown
2005_Hertfordshire_Oil_Storage_Terminal_fire,Unknown
2005_Kashmir_earthquake,Unknown
2005_Lake_Tanganyika_earthquake,Unknown
2005_Sumatra_earthquake,Unknown
20th_century,Unknown
21st_century,Unknown
2nd_century,Unknown
3_Juno,Unknown
3rd_century,Unknown
4-2-0,Unknown
4-4-0,Unknown
4-6-0,Unknown
47_Ursae_Majoris,Unknown
47_Ursae_Majoris_b,Unknown
47_Ursae_Majoris_c,Unknown
4_Vesta,Unknown
4th_century,Unknown
55_Cancri,Unknown
55_Cancri_b,Unknown
55_Cancri_c,Unknown
55_Cancri_d,Unknown
55_Cancri_e,Unknown
5th_century,Unknown
6-2-0,Unknown
6th_century,Unknown
7th_century,Unknown
8th_century,Unknown
90377_Sedna,Unknown
9th_century,Unknown
A._E._J._Collins,Male
ABO_blood_group_system,Unknown
AC_DC,Unknown
AIDS,Unknown
AK-47,Unknown
ALCO_FA,Unknown
ASCII,Unknown
AT%26T,Unknown
ATLAS_experiment,Unknown
A_Christmas_Carol,Unknown
A_Tale_of_a_Tub,Unknown
A_Wrinkle_in_Time,Unknown
A_cappella,Unknown
Aachen,Unknown
Aardvark,Unknown
Aarhus,Unknown
Abac%C3%A1,Unknown
Abacus,Unknown
Abadan,Unknown
Abbadid,Unknown
Abbas_I_of_Persia,Male
Abbasid,Unknown
Abbey,Unknown
Abbey_Theatre,Unknown
Abbot,Unknown
Abel_Tasman,Male
Aberdeen,Unknown
Aberration_of_light,Unknown
Aberystwyth,Unknown
Abhidhamma_Pitaka,Unknown
Abidjan,Unknown
Abkhazia,Unknown
Able_Archer_83,Unknown
Abraham_Goldfaden,Male
Abraham_Lincoln,Male
Absinthe,Unknown
Absolute_zero,Unknown
Abstract_art,Unknown
Abu_Dhabi,Unknown
Abuja,Unknown
Acceleration,Unknown
Accountancy,Unknown
Accra,Unknown
Acetic_acid,Unknown
Acetone,Unknown
Achilles,Male
Achilles_tendon,Unknown
Acid_rain,Unknown
Acorn_Computers,Unknown
Actinium,Unknown
Action_potential,Unknown
Actor,Unknown
Acts_of_Union_1707,Unknown
Actuary,Unknown
Adam_Smith,Male
Addis_Ababa,Unknown
Adelaide,Unknown
Adenosine_triphosphate,Unknown
Adi_Shankara,Male
Adolf_Hitler,Male
Adriaen_van_der_Donck,Male
Advertising,Unknown
Aesthetics,Unknown
Afghan_Hound,Unknown
Afghanistan,Unknown
Africa,Unknown
African_American_literature,Unknown
African_Black_Oystercatcher,Unknown
African_Brush-tailed_Porcupine,Unknown
African_Buffalo,Unknown
African_Darter,Unknown
African_Great_Lakes,Unknown
African_Grey_Hornbill,Unknown
African_Grey_Parrot,Unknown
African_Jacana,Unknown
African_Penguin,Unknown
African_Union,Unknown
African_Wild_Dog,Unknown
African_clawed_frog,Unknown
African_dwarf_frog,Unknown
African_slave_trade,Unknown
Afrikaans,Unknown
Agamemnon,Male
Age_of_Enlightenment,Unknown
Aggregator,Unknown
Agnosticism,Unknown
Agriculture,Unknown
Airbus,Unknown
Airbus_A380,Unknown
Aircraft,Unknown
Aircraft_carrier,Unknown
Airship,Unknown
Ajax_%28programming%29,Unknown
Akbar,Male
Akhenaten,Male
Akira_Kurosawa,Male
Akkadian_Empire,Unknown
Akrotiri_and_Dhekelia,Unknown
